Transaction Name,Flow Name,Packet List Name,Transaction Duration (seconds),Network Time (seconds) ,Throughput Up (KB),Throughput Down (KB),Number of Requests,Errors,Analysis Score (Desktop) ,Analysis Score (Mobile) ,Transaction HTML Report Name
SearchAPI_Corp_Keyword_BoostBurry,,,5.2,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report0.html
SearchAPI_Corp_Keyword_redirect,,,8.3,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report1.html
SearchAPI_Corp_Sort_MostReviews,,,2.7,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report2.html
SearchAPI_Corp_Sort_MostReviews[2],,,2.8,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report3.html
SearchAPI_Corp_Keyword_redirect[2],,,2.7,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report4.html
SearchAPI_Corp_MultipleContract,,,1.4,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report5.html
SearchAPI_Corp_Webclass,,,4.5,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report6.html
SearchAPI_Corp_Keyword_BoostBurry[2],,,1.8,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report7.html
SearchAPI_Corp_MultipleBrand,,,0.3,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report8.html
SearchAPI_Corp_KeywordOnly,,,0.1,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report9.html
SearchAPI_Corp_Keyword_Cloud,,,0.7,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report10.html
SearchAPI_Corp_Contract,,,0.1,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report11.html
SearchAPI_Corp_Keyword_Edc,,,0.4,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report12.html
SearchAPI_Corp_Sort_Price,,,0.2,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report13.html
SearchAPI_Corp_Webclass[2],,,0.1,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report14.html
SearchAPI_Corp_Webclass[3],,,1.2,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report15.html
SearchAPI_Corp_Brand,,,0.1,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report16.html
SearchAPI_Corp_Contract[2],,,0.1,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report17.html
SearchAPI_Corp_Keyword_BoostBurry[3],,,0.3,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report18.html
SearchAPI_Corp_Contract[3],,,0.0,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report19.html
SearchAPI_Corp_Keyword_redirect[3],,,0.1,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report20.html
SearchAPI_Corp_Keyword_BoostBurry[4],,,0.1,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report21.html
SearchAPI_Corp_Sort_MostReviews[3],,,0.3,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report22.html
SearchAPI_Corp_Keyword_BoostBurry[5],,,0.3,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report23.html
SearchAPI_Corp_Keyword_redirect[4],,,0.2,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report24.html
SearchAPI_Corp_Keyword_MPN,,,0.3,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report25.html
SearchAPI_Corp_Sort_Price[2],,,0.1,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report26.html
SearchAPI_Corp_Keyword_redirect[5],,,0.1,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report27.html
SearchAPI_Corp_KeywordOnly[2],,,0.1,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report28.html
SearchAPI_Corp_Keyword_SearchWithin,,,0.2,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report29.html
SearchAPI_Corp_Sort_MostReviews[4],,,0.5,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report30.html
SearchAPI_Corp_Sort_Price[3],,,0.1,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report31.html
SearchAPI_Corp_Contract[4],,,0.1,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report32.html
SearchAPI_Corp_Keyword_SearchWithin[2],,,0.2,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report33.html
